request_id,timestamp,year,month,day,service_name,endpoint,http_method,status_code,response_time_ms,user_id_raw,user_id_hash,client_ip,aws_region,device_type,bytes_sent,error_message
473e26e8-ce8e-4adb-8a00-5fc63588e59a,2026-07-28T17:45:45.000Z,2026,07,28,auth-service,/api/v1/auth/token,GET,200,41.82,user_01456,9cfd01bd224b5438,192.168.14.135,us-east-1,mobile_android,2769,
49a70692-9b32-4c47-b6b4-dfc6ca7f3d80,2026-07-28T11:22:27.000Z,2026,07,28,catalog-service,/api/v1/products/search,POST,200,34.9,user_01238,dfc0f0b0d101f43d,192.168.13.203,us-east-1,desktop_windows,6429,
dde70532-bd6b-4672-9887-dab2486eec20,2026-07-28T19:25:50.000Z,2026,07,28,catalog-service,/api/v1/products/detail,POST,200,20.21,user_01357,8edc3d6b374f58c1,192.168.12.81,ap-southeast-1,mobile_android,3118,
259e4b51-73c0-40f3-b11f-2cfcf68e376b,2026-07-28T14:33:03.000Z,2026,07,28,auth-service,/api/v1/auth/logout,GET,200,57.44,user_01356,624c0fe334f343ec,192.168.4.198,us-west-2,desktop_mac,4941,
1e91b15b-2f0f-4153-b437-3a66f1f0ce6e,2026-07-28T20:19:19.000Z,2026,07,28,cart-service,/api/v1/cart/view,PUT,200,66.83,user_01164,62a9d7e87061702b,192.168.2.199,us-east-1,desktop_windows,2618,
46262ed7-894e-4567-83af-47af54de650c,2026-07-28T22:53:56.000Z,2026,07,28,payment-gateway,/api/v1/payment/verify,POST,403,15.42,user_01413,f5fc5c4591ae8d87,192.168.20.14,us-east-1,desktop_mac,2826,Forbidden: Insufficient IAM Permissions
a3f99eb8-df66-4460-a57e-bd0970c6545b,2026-07-28T01:31:23.000Z,2026,07,28,order-service,/api/v1/orders/create,GET,200,111.63,user_01432,9fadb5b3e465d9d7,192.168.19.6,us-west-2,desktop_mac,3680,
233ba6d4-9ad0-4b60-a3c2-3e3861751deb,2026-07-28T09:55:26.000Z,2026,07,28,order-service,/api/v1/orders/create,GET,200,85.97,user_01124,bad7d8770ddcf88c,192.168.8.83,us-east-1,tablet,7310,
474ac871-82c9-4aba-978b-c9161b7b7fa1,2026-07-28T22:59:54.000Z,2026,07,28,cart-service,/api/v1/cart/checkout,PUT,200,69.56,user_01448,cb60912f0affcc50,192.168.17.204,us-west-2,tablet,5239,
91065fd0-aeaa-4d2d-acf7-5698d5b8b500,2026-07-28T16:03:19.000Z,2026,07,28,order-service,/api/v1/orders/status,DELETE,200,63.59,user_01403,a5b47b0557751a28,192.168.19.235,ap-southeast-1,mobile_android,2143,
5556877d-60a7-4679-8943-c459f929deca,2026-07-28T03:14:03.000Z,2026,07,28,cart-service,/api/v1/cart/checkout,DELETE,200,47.56,user_01360,0a58e8d62aaa7f0b,192.168.3.28,eu-west-1,mobile_ios,6394,
02d042bd-aaa4-4112-95ac-119ef83c686e,2026-07-28T00:35:36.000Z,2026,07,28,order-service,/api/v1/orders/history,GET,500,3389.85,user_01235,ecf6dfce87796f5a,192.168.4.96,us-east-1,mobile_ios,8295,NullPointer in PaymentWorker
3f7ccc2b-291c-49c0-a18b-a6807c4f78f5,2026-07-28T03:33:27.000Z,2026,07,28,payment-gateway,/api/v1/payment/charge,GET,200,225.97,user_01330,cc991f206be89967,192.168.19.52,eu-west-2,desktop_mac,2180,
295dd382-4884-4669-92e8-05f4ce228d0f,2026-07-28T15:03:38.000Z,2026,07,28,order-service,/api/v1/orders/create,POST,200,130.82,user_01368,369ea63aac7e9744,192.168.1.30,eu-west-2,mobile_ios,5446,
fa162bf1-caf2-4b1a-a1e1-950c261ba600,2026-07-28T22:45:14.000Z,2026,07,28,catalog-service,/api/v1/products/search,GET,200,14.91,user_01154,43411b07a21ca270,192.168.3.90,us-east-1,mobile_ios,1922,
327b2c8b-d59d-4453-bc51-c30da084586b,2026-07-28T10:26:41.000Z,2026,07,28,cart-service,/api/v1/cart/view,GET,200,34.55,user_01301,a6a8a4b111e411cc,192.168.20.22,us-west-2,tablet,7416,
b1a5e1a9-bb28-4e25-be6e-490958e8ec4a,2026-07-28T20:22:06.000Z,2026,07,28,auth-service,/api/v1/auth/login,GET,200,30.03,user_01148,9de3bd6102e573d5,192.168.17.51,us-west-2,tablet,147,
e106a0df-12a3-403b-9464-dc4994160f52,2026-07-28T04:14:38.000Z,2026,07,28,payment-gateway,/api/v1/payment/verify,GET,200,156.22,user_01259,d56cd4871484e7b1,192.168.11.206,ap-southeast-1,mobile_ios,4723,
ea998fdc-6d28-44c2-947b-c9cf5cd38a55,2026-07-28T15:53:04.000Z,2026,07,28,catalog-service,/api/v1/products/search,GET,200,23.16,user_01489,9682c7a49cd79d45,192.168.18.2,us-west-2,desktop_windows,7932,
a14e3b4f-d588-4832-9300-e1b43d2398b4,2026-07-28T21:27:01.000Z,2026,07,28,order-service,/api/v1/orders/history,PUT,200,12.44,user_01380,0910ec9b5c8a252b,192.168.13.27,ap-southeast-1,desktop_windows,7179,
85214b89-a115-4c0f-aeca-24f6cb79e69a,2026-07-28T03:10:36.000Z,2026,07,28,auth-service,/api/v1/auth/logout,GET,200,29.39,user_01479,ffdf173f13afe19c,192.168.1.155,eu-west-2,desktop_mac,269,
f9093398-95f6-42e4-b087-0a85272068cb,2026-07-28T09:41:29.000Z,2026,07,28,cart-service,/api/v1/cart/view,GET,503,1085.65,user_01049,ea0a27b181bd024b,192.168.12.57,us-west-2,desktop_windows,7100,CircuitBreaker Triggered (High Load)
3b8cbac0-d069-4b4e-8575-17f37415e942,2026-07-28T05:21:14.000Z,2026,07,28,payment-gateway,/api/v1/payment/charge,GET,200,162.43,user_01132,68bf789ca0daae49,192.168.19.13,eu-west-1,desktop_windows,2272,
205450b5-4e50-49b4-add2-79d165755578,2026-07-28T19:38:48.000Z,2026,07,28,order-service,/api/v1/orders/create,GET,200,99.9,user_01410,35592169a99bc512,192.168.12.220,eu-west-2,desktop_mac,7257,
b15777fb-2f63-4072-87a6-03ff4bd82262,2026-07-28T13:50:34.000Z,2026,07,28,auth-service,/api/v1/auth/login,GET,200,37.86,user_01280,8224c675165bff03,192.168.12.40,ap-southeast-1,mobile_ios,5327,
b373abc0-40af-446b-a744-c1adee6c1fef,2026-07-28T00:44:10.000Z,2026,07,28,payment-gateway,/api/v1/payment/verify,POST,200,159.4,user_01412,1e881fdb290041a2,192.168.1.134,us-east-1,desktop_windows,5786,
4800a450-ef74-418a-ad2d-e457e70edf6d,2026-07-28T07:27:06.000Z,2026,07,28,auth-service,/api/v1/auth/logout,GET,200,39.63,user_01420,627313602a0295cd,192.168.4.4,eu-west-1,tablet,5401,
